position ( [ 18 , 20 ] )
supply ( 20 )
s ( 3 )
m ( 20 )
g ( 666 )
t ( 3 )
w ( 7 )
p ( 3 )
l ( 30 )
ll ( 20 )
x ( 4 )
y ( 1 )
revealed ( [ 0 , 0 ] )
revealed ( [ 0 , 1 ] )
revealed ( [ 0 , 2 ] )
revealed ( [ 0 , 3 ] )
revealed ( [ 1 , 0 ] )
revealed ( [ 1 , 1 ] )
revealed ( [ 1 , 2 ] )
revealed ( [ 1 , 3 ] )
revealed ( [ 1 , 4 ] )
revealed ( [ 2 , 0 ] )
revealed ( [ 2 , 1 ] )
revealed ( [ 2 , 2 ] )
revealed ( [ 2 , 3 ] )
revealed ( [ 2 , 4 ] )
revealed ( [ 2 , 5 ] )
revealed ( [ 2 , 6 ] )
revealed ( [ 3 , 0 ] )
revealed ( [ 3 , 1 ] )
revealed ( [ 3 , 2 ] )
revealed ( [ 3 , 3 ] )
revealed ( [ 3 , 4 ] )
revealed ( [ 3 , 5 ] )
revealed ( [ 3 , 6 ] )
revealed ( [ 3 , 7 ] )
revealed ( [ 3 , 8 ] )
revealed ( [ 4 , 0 ] )
revealed ( [ 4 , 1 ] )
revealed ( [ 4 , 2 ] )
revealed ( [ 4 , 3 ] )
revealed ( [ 4 , 4 ] )
revealed ( [ 4 , 5 ] )
revealed ( [ 4 , 6 ] )
revealed ( [ 4 , 7 ] )
revealed ( [ 4 , 8 ] )
revealed ( [ 5 , 0 ] )
revealed ( [ 5 , 1 ] )
revealed ( [ 5 , 2 ] )
revealed ( [ 5 , 3 ] )
revealed ( [ 5 , 4 ] )
revealed ( [ 5 , 5 ] )
revealed ( [ 5 , 6 ] )
revealed ( [ 5 , 7 ] )
revealed ( [ 5 , 8 ] )
revealed ( [ 5 , 9 ] )
revealed ( [ 6 , 0 ] )
revealed ( [ 6 , 1 ] )
revealed ( [ 6 , 2 ] )
revealed ( [ 6 , 3 ] )
revealed ( [ 6 , 4 ] )
revealed ( [ 6 , 5 ] )
revealed ( [ 6 , 6 ] )
revealed ( [ 6 , 7 ] )
revealed ( [ 6 , 8 ] )
revealed ( [ 6 , 9 ] )
revealed ( [ 6 , 10 ] )
revealed ( [ 6 , 11 ] )
revealed ( [ 7 , 0 ] )
revealed ( [ 7 , 1 ] )
revealed ( [ 7 , 2 ] )
revealed ( [ 7 , 3 ] )
revealed ( [ 7 , 4 ] )
revealed ( [ 7 , 5 ] )
revealed ( [ 7 , 6 ] )
revealed ( [ 7 , 7 ] )
revealed ( [ 7 , 8 ] )
revealed ( [ 7 , 9 ] )
revealed ( [ 7 , 10 ] )
revealed ( [ 7 , 11 ] )
revealed ( [ 7 , 12 ] )
revealed ( [ 7 , 13 ] )
revealed ( [ 7 , 14 ] )
revealed ( [ 7 , 15 ] )
revealed ( [ 7 , 16 ] )
revealed ( [ 7 , 17 ] )
revealed ( [ 7 , 18 ] )
revealed ( [ 8 , 2 ] )
revealed ( [ 8 , 3 ] )
revealed ( [ 8 , 4 ] )
revealed ( [ 8 , 5 ] )
revealed ( [ 8 , 6 ] )
revealed ( [ 8 , 7 ] )
revealed ( [ 8 , 8 ] )
revealed ( [ 8 , 9 ] )
revealed ( [ 8 , 10 ] )
revealed ( [ 8 , 11 ] )
revealed ( [ 8 , 12 ] )
revealed ( [ 8 , 13 ] )
revealed ( [ 8 , 14 ] )
revealed ( [ 8 , 15 ] )
revealed ( [ 8 , 16 ] )
revealed ( [ 8 , 17 ] )
revealed ( [ 8 , 18 ] )
revealed ( [ 8 , 19 ] )
revealed ( [ 8 , 20 ] )
revealed ( [ 9 , 3 ] )
revealed ( [ 9 , 4 ] )
revealed ( [ 9 , 5 ] )
revealed ( [ 9 , 6 ] )
revealed ( [ 9 , 7 ] )
revealed ( [ 9 , 8 ] )
revealed ( [ 9 , 9 ] )
revealed ( [ 9 , 10 ] )
revealed ( [ 9 , 11 ] )
revealed ( [ 9 , 12 ] )
revealed ( [ 9 , 13 ] )
revealed ( [ 9 , 14 ] )
revealed ( [ 9 , 15 ] )
revealed ( [ 9 , 16 ] )
revealed ( [ 9 , 17 ] )
revealed ( [ 9 , 18 ] )
revealed ( [ 9 , 19 ] )
revealed ( [ 9 , 20 ] )
revealed ( [ 10 , 3 ] )
revealed ( [ 10 , 4 ] )
revealed ( [ 10 , 5 ] )
revealed ( [ 10 , 6 ] )
revealed ( [ 10 , 7 ] )
revealed ( [ 10 , 8 ] )
revealed ( [ 10 , 9 ] )
revealed ( [ 10 , 10 ] )
revealed ( [ 10 , 11 ] )
revealed ( [ 10 , 12 ] )
revealed ( [ 10 , 13 ] )
revealed ( [ 10 , 14 ] )
revealed ( [ 10 , 15 ] )
revealed ( [ 10 , 16 ] )
revealed ( [ 10 , 17 ] )
revealed ( [ 10 , 18 ] )
revealed ( [ 10 , 19 ] )
revealed ( [ 10 , 20 ] )
revealed ( [ 10 , 21 ] )
revealed ( [ 11 , 5 ] )
revealed ( [ 11 , 6 ] )
revealed ( [ 11 , 7 ] )
revealed ( [ 11 , 8 ] )
revealed ( [ 11 , 9 ] )
revealed ( [ 11 , 10 ] )
revealed ( [ 11 , 11 ] )
revealed ( [ 11 , 12 ] )
revealed ( [ 11 , 13 ] )
revealed ( [ 11 , 14 ] )
revealed ( [ 11 , 15 ] )
revealed ( [ 11 , 16 ] )
revealed ( [ 11 , 17 ] )
revealed ( [ 11 , 18 ] )
revealed ( [ 11 , 19 ] )
revealed ( [ 11 , 20 ] )
revealed ( [ 11 , 21 ] )
revealed ( [ 12 , 7 ] )
revealed ( [ 12 , 8 ] )
revealed ( [ 12 , 9 ] )
revealed ( [ 12 , 10 ] )
revealed ( [ 12 , 11 ] )
revealed ( [ 12 , 12 ] )
revealed ( [ 12 , 13 ] )
revealed ( [ 12 , 14 ] )
revealed ( [ 12 , 15 ] )
revealed ( [ 12 , 16 ] )
revealed ( [ 12 , 17 ] )
revealed ( [ 12 , 18 ] )
revealed ( [ 12 , 19 ] )
revealed ( [ 12 , 20 ] )
revealed ( [ 12 , 21 ] )
revealed ( [ 12 , 22 ] )
revealed ( [ 13 , 9 ] )
revealed ( [ 13 , 10 ] )
revealed ( [ 13 , 11 ] )
revealed ( [ 13 , 12 ] )
revealed ( [ 13 , 13 ] )
revealed ( [ 13 , 14 ] )
revealed ( [ 13 , 15 ] )
revealed ( [ 13 , 16 ] )
revealed ( [ 13 , 17 ] )
revealed ( [ 13 , 18 ] )
revealed ( [ 13 , 19 ] )
revealed ( [ 13 , 20 ] )
revealed ( [ 13 , 21 ] )
revealed ( [ 13 , 22 ] )
revealed ( [ 14 , 15 ] )
revealed ( [ 14 , 16 ] )
revealed ( [ 14 , 17 ] )
revealed ( [ 14 , 18 ] )
revealed ( [ 14 , 19 ] )
revealed ( [ 14 , 20 ] )
revealed ( [ 14 , 21 ] )
revealed ( [ 14 , 22 ] )
revealed ( [ 14 , 23 ] )
revealed ( [ 15 , 16 ] )
revealed ( [ 15 , 17 ] )
revealed ( [ 15 , 18 ] )
revealed ( [ 15 , 19 ] )
revealed ( [ 15 , 20 ] )
revealed ( [ 15 , 21 ] )
revealed ( [ 15 , 22 ] )
revealed ( [ 15 , 23 ] )
revealed ( [ 16 , 16 ] )
revealed ( [ 16 , 17 ] )
revealed ( [ 16 , 18 ] )
revealed ( [ 16 , 19 ] )
revealed ( [ 16 , 20 ] )
revealed ( [ 16 , 21 ] )
revealed ( [ 16 , 22 ] )
revealed ( [ 16 , 23 ] )
revealed ( [ 17 , 17 ] )
revealed ( [ 17 , 18 ] )
revealed ( [ 17 , 19 ] )
revealed ( [ 17 , 20 ] )
revealed ( [ 17 , 21 ] )
revealed ( [ 17 , 22 ] )
revealed ( [ 17 , 23 ] )
revealed ( [ 18 , 17 ] )
revealed ( [ 18 , 18 ] )
revealed ( [ 18 , 19 ] )
revealed ( [ 18 , 20 ] )
revealed ( [ 18 , 21 ] )
revealed ( [ 18 , 22 ] )
revealed ( [ 18 , 23 ] )
revealed ( [ 19 , 18 ] )
revealed ( [ 19 , 19 ] )
